SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2012-05-21-03,2012-05-21-04,38.5,36.5,36.5,93,928.6,36,35.0,35.0,4,290,0.00,0,0,0,5
Madrid History 2012,581525,2012-05-21-04,2012-05-21-05,38.3,36.5,36.6,94,928.9,56,34.9,34.9,4,290,0.00,0,0,0,5
Madrid History 2012,581525,2012-05-21-05,2012-05-21-06,38.6,36.7,36.5,93,929.5,88,35.2,35.2,4,290,0.00,0,0,0,5
Madrid History 2012,581525,2012-05-21-06,2012-05-21-07,43.0,37.8,40.4,82,930.2,98,39.9,39.9,4,290,0.00,31,31,0,5
Madrid History 2012,581525,2012-05-21-07,2012-05-21-08,46.6,32.3,40.0,57,931.8,99,42.6,42.6,7,320,0.00,118,111,24,8
Madrid History 2012,581525,2012-05-21-08,2012-05-21-09,50.4,29.8,41.0,45,932.1,98,46.6,46.6,8,320,0.00,266,207,128,9
Madrid History 2012,581525,2012-05-21-09,2012-05-21-10,53.9,27.9,42.4,37,932.3,92,50.9,50.9,9,320,0.00,487,253,370,10
Madrid History 2012,581525,2012-05-21-10,2012-05-21-11,56.8,27.6,42.7,32,932.5,86,54.4,54.4,9,320,0.00,666,251,541,10
Madrid History 2012,581525,2012-05-21-11,2012-05-21-12,58.4,31.9,44.9,36,932.3,64,56.4,56.4,9,300,0.00,815,277,618,10
Madrid History 2012,581525,2012-05-21-12,2012-05-21-13,55.7,35.5,45.6,46,934.5,62,52.7,52.7,10,290,0.00,920,227,747,12
Madrid History 2012,581525,2012-05-21-13,2012-05-21-14,57.4,33.8,46.0,41,934.5,74,55.8,55.8,7,310,0.00,911,270,684,8
Madrid History 2012,581525,2012-05-21-14,2012-05-21-15,55.7,33.8,45.0,43,934.5,86,53.1,53.1,9,300,0.00,768,390,421,10
Madrid History 2012,581525,2012-05-21-15,2012-05-21-16,56.6,34.5,45.0,43,934.1,90,54.3,54.3,9,300,0.00,590,366,275,10
Madrid History 2012,581525,2012-05-21-16,2012-05-21-17,57.4,33.9,46.0,41,934.5,93,54.4,54.4,12,290,0.00,493,339,223,14
Madrid History 2012,581525,2012-05-21-17,2012-05-21-18,56.8,35.5,45.4,45,934.3,89,54.0,54.0,10,290,0.00,341,241,188,12
Madrid History 2012,581525,2012-05-21-18,2012-05-21-19,60.5,37.6,47.8,43,934.5,52,58.6,58.6,11,320,0.00,220,144,212,13
Madrid History 2012,581525,2012-05-21-19,2012-05-21-20,53.9,38.5,46.0,56,935.1,5,50.4,50.4,10,320,0.00,122,47,441,12
Madrid History 2012,581525,2012-05-21-20,2012-05-21-21,49.0,39.0,43.3,68,933.3,3,47.0,47.0,4,310,0.00,0,0,0,5
